,Company,Source,Category,Date,Author,Title,Tags,Subtitle,Content
63103,CADILA HEALTHCARE,econominc-times,"['Industry', 'Healthcare/Biotech', 'Pharmaceuticals']",2013-09-05 12:29:00,"['ByYatin Mota, ET Now']","['Cadila Health, Torrent Pharma mulling merger: Sources']","['Cadila Healthcare', 'Cadila', 'Torrent Pharmaceuticals', 'Rupee', 'Merger', 'Torrent Pharma', 'pharmaceutical']",['Cadila Healthcare to merge with Torrent Pharma: Sources'],"[""MUMBAI: Even as the shares of Indianpharmaceuticalcompanies are gaining strength on a weakrupee, domestic players are looking atmergerroute for growth in tough competitive environment.According to sources,Cadila HealthandTorrent Pharmaare in preliminary talks to merge the two companies.If the merger talks succeed, the new entity will become India's third largest pharmaceutical company in terms of sales going forward after Sun Pharmaceuticals and Dr Reddy's.Also, the merged entity will become India's second largest pharma major in terms of the ANDA pipeline and drug approval applications.Sources added that the merger will help bothCadilaand Torrent as they have diverse product portfolio.Torrent Pharmaceuticalshas a portfolio of drugs for chronic ailments and a strong presence in the Latin American markets whileCadila Healthcarespecialises in Acute portfolio.In a reply to ET Now queries on the merger, Cadila Health denied merger talks while Torrent Pharmaceuticals did not reply to queries sent.Shares of Torrent Pharmaceuticals reacted positively to the ET Now exclusive and rallied over 5 per cent intraday.At 11:50 a.m.; the stock was at Rs 440, up 4.40 per cent, on the BSE. It touched a high of Rs 444.40 and a low of Rs 423 in trade today.Cadila Healthcare was at Rs 646.60, up 1.27 per cent, on the BSE. It touched a high of Rs 654 and a low of Rs 643 in trade today.""]"
66154,CADILA HEALTHCARE,econominc-times,"['Industry', 'Healthcare/Biotech', 'Pharmaceuticals']",2013-09-17 11:26:00,['ET Bureau'],['Why Cadila Healthcare is likely to be an underperformer in the pharma sector'],"['Cadila', 'US', 'Cadila Healthcare', 'Zydus Wellness', 'underperformer', 'Rupee depreciation', 'diversified']","['Due to the current challenges related to the new drug pricing policy, the company is likely to face slowdown in the domestic market.']","[""One of the worst performing pharma stocks in the last one year,Cadila Healthcare's June quarter performance was impacted by subdued performance in all its key markets of the US, India, Brazil and Japan. The company'sdiversifiedmodel is not yielding it the desired profitable growth.Besides the domestic market,Cadilahas presence in the US, Brazil, EU, Japan and other smaller emerging markets. It manufactures active ingredients, has joint ventures with other companies and has presence in animal health and also a subsidiaryZydus Wellnessmarketing over the counter consumer healthcare products. The company is also into biosimilars in India and engaged into innovative research.However, most of these businesses have not been able to propel strong growth for the company in the recent quarters and the June quarter performance has further indicated that the prospect of an immediate upswing in growth looks bleak.Due to the current challenges related to the new drug pricing policy, the company is likely to face slowdown in the domestic market. The management is expected to take a hit of Rs 90 crore in sales in this fiscal on account of the changes implemented due to the new pricing policy.Delay in product approvals in its key markets of the US and Brazil has led to uncertainty about the launch of the company's products in these markets. The company has cut down its target of securing 20 product approvals in the US to 5 to 8 in the remaining part of the current fiscal. The company's joint venture business, while growing in revenues, is not able to improve its profitability.The company has a net debt of Rs 2,550 crore. Its stock is trading at 20 times its trailing four quarter earnings and is valued at over twice its revenues. These are fair valuations given the under-performance of its business. While therupee depreciationdoes offer some respite in case of its US business, given the near term challenges, the company is likely to be an under performer in this fiscal with its stock price mirroring the same on the bourses.""]"
76811,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-10-31 11:42:00,['ET Now'],['Buy Cadila Healthcare Ltd with target price of Rs 688: Prakash Gaba'],"['Cadila Healthcare Ltd', 'prakash gaba']",[],"[""In a chat with ET Now,Prakash Gaba, CFT, prakashgaba.com, shares his views onCadila Healthcare Ltd.ET Now: What is your call on Cadila Healthcare Ltd?Prakash Gaba: Cadila Healthcare Ltd is a 'BUY' call with a target of Rs 688 and a stop loss of Rs 657.""]"
83417,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-11-25 10:19:00,['ET Now'],['Buy Cadila Healthcare with a target of Rs 790: Ashwani Gujral'],"['Fund manager', 'Sensex', 'Shares', 'BSE', 'NSE', 'nifty', 'stock market']",[],"['In a chat with ET Now,Ashwani Gujral,Fund Manager, ashwanigujral.comshareshis views onCadila Healthcare.ET Now: What is your call on Cadila Healthcare?Ashwani Gujral:Buy Cadila Healthcare with a target of Rs 790 and stop loss of Rs 732.']"
88819,CADILA HEALTHCARE,econominc-times,"['Industry', 'Healthcare/Biotech', 'Pharmaceuticals']",2013-12-11 20:22:00,['PTI'],['Cadila Healthcare inks pact with Warner Chilcott to settle patent dispute'],"['Shares', 'Cadila Healthcare', 'Zydus', 'Cadila', 'net worth', 'Insurability']","['The agreement remains subject to preparation and execution of definitive documentation, Cadila Healthcare said in a statement.']","['NEW DELHI:Cadila Healthcaresaid it along withZydusPharmaceuticals (USA) Inc, have entered into an agreement with Warner Chilcott Company to settle all outstanding patent litigation related to Asacol HD (mesalamine) delayed-release tablets.The agreement remains subject to preparation and execution of definitive documentation,CadilaHealthcare said in a statement.As part of the agreement, Warner Chilcott will grant Cadila and Zydus a royalty- bearing license to market a generic version of Asacol HD beginning on November 15, 2015 or earlier under certain circumstances, following receipt by Zydus of final approval from the USFDA of its ANDA for generic Asacol HD, the company said.""Alternatively, if Zydus does not receive FDA approval of its generic Asacol HD by July 1, 2016, Zydus will be permitted to launch an authorised generic version of Asacol HD beginning on July 1, 2016,"" it added.Asacol is used to treat ulcerative colitis, proctitis and proctosigmoiditis.Sharesof Cadila Healthcare today closed at Rs 725.45 apiece on the BSE, down 1.04 per cent from previous close.']"
88842,CADILA HEALTHCARE,econominc-times,"['Industry', 'Healthcare/Biotech', 'Pharmaceuticals']",2013-12-11 21:29:00,"['ByVishal Dutta, ET Bureau']",['Warner Chilcott & Cadila Healthcare settles patent litigation'],"['Cadila Healthcare Ltd', 'Zydus Cadila Group', 'Warner Chilcott Company LLC', 'united states', 'USA', 'Bombay stock exchange', 'Warner Chilcott']",['Warner Chilcott & Cadila Healthcare settles patent litigation'],"[""AHMEDABAD: Ahmedabad-based drug company and India's fifth largest drug maker by revenue,Zydus Cadila Grouphas settled a patent litigation with US-basedWarner Chilcott Company LLC.In a press statement, Zydus Cadila said thatCadila Healthcare Ltd& its US subsidiary Zydus Pharmaceuticals (USA) Inc have entered into an agreement in principle withWarner ChilcottCompany LLC to settle all outstanding patent litigation related to Asacol HD (mesalamine) delayed-release tablets. The agreement remains subject to preparation and execution of definitive documentation.Under the terms of the agreement in principle, Warner Chilcott Company will grant Cadila and Zydus a royalty-bearing license to market a generic version of its patented drug Asacol HD beginning on November 15, 2015 or earlier under certain circumstances, following receipt by Zydus of final approval from theU.S. Food and Drug Administration(USFDA) of its Abbreviated New Drug Application (ANDA) for generic version of Asacol HD.Alternatively, if Zydus does not receive USFDA approval of its generic version of Asacol HD by July 1, 2016, Zydus will be permitted to launch an authorized generic version of Asacol HD beginning on July 1, 2016. Other terms of the settlement were not disclosed.On Wednesday, the stock prices of Cadila Healthcare Ltd dropped by one percent closing at Rs 725.45 onBombay Stock Exchange.""]"
94794,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Recos']",2014-01-01 09:39:00,['ET Now'],['Buy Cadila Healthcare Ltd with a target of Rs 860: Ashwani Gujral'],"['Cadila Healthcare Ltd', 'Ashwani Gujral']",[],"[""In a chat with ET Now,Ashwani Gujralof ashwanigujral.com, shares his views onCadila Healthcare Ltd.ET Now: What is your call on Cadila Healthcare Ltd?Ashwani Gujral: Cadila Healthcare Ltd is a 'BUY' call with a target of Rs 860 and a stop loss of Rs 790.""]"
98487,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Recos']",2014-01-15 09:14:00,['ET Now'],['Buy Cadila Healthcare Ltd with target price of Rs 930: Ashwani Gujral'],[],[],"[""In a chat with ET Now, Ashwani Gujral of ashwanigujral.com, shares his views on Cadila Healthcare Ltd:ET Now: What is your call on Cadila Healthcare Ltd?Ashwani Gujral:Cadila Healthcare Ltd is a 'BUY' with a target of Rs 930 and a stop loss of Rs 870.""]"
98510,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Recos']",2014-01-15 10:10:00,['ET Now'],['Buy Cadila Healthcare with a target of Rs 940: Mitesh Thacker'],[],[],"[""In a chat with ET Now, Mitesh Thacker, Technical Analyst, miteshthacker.com, shares his views on Cadila Healthcare:ET Now: What is your call on Cadila Healthcare?Mitesh Thacker:Cadila Healthcare is a 'Buy' with a target of Rs 940 and a stop loss of Rs 886.""]"
102138,CADILA HEALTHCARE,econominc-times,"['Industry', 'Healthcare/Biotech', 'Healthcare']",2014-01-27 17:42:00,['PTI'],['Cadila Healthcare to exit Japanese business'],"['Cadila Healthcare Ltd', 'Japan', 'BSE']",['Drug firm\xa0Cadila\xa0Healthcare has decided to exit from its business in Japan following a strategic review of its business.'],"['NEW DELHI: Drug firm Cadila Healthcare has decided to exit from its business inJapanfollowing a strategic review of its business. ""The company has recently completed portfolio and strategy review of its business and has decided to exit from its business in Japan, which is through 100 per cent subsidiary company,""Cadila Healthcare Ltdsaid in a filing to theBSE.The Ahmedabad-based firm has operations spread across the US, Europe, Japan, Brazil, South Africa and 25 other emerging markets. Shares of Cadila Healthcare today closed at Rs 819 apiece on the BSE, down 2.24 per cent from its previous close.']"
105583,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Earnings']",2014-02-07 11:16:00,['ET Online'],['Cadila Healthcare likely to report 69% jump in Q3 PAT to Rs 174 crore'],"['united states', 'markets', 'us market', 'Major', 'net worth', 'Insurability', 'Q3']",[],"[""MUMBAI: PharmaceuticalmajorCadila Healthcare will announce its third-quarter results on Friday. The company is likely to report ajumpof 69 per cent in its net profit for the quarter ended December 2013 to Rs 174 crore, according to an ET Now poll.The company had reported a net profit of Rs 103 crore in the same quarter last fiscal year.Net sales for the quarter are seen at Rs 1,780 crore, up 14 per cent, as against Rs 1,561 crore in the year-ago period.EBITDA is seen at Rs 276 crore, up 9 per cent, as against Rs 254 crore; while margins are seen at 15.5 per cent versus 16.3 per cent.According to analysts, the company's domestic market is likely to report 6-8 per cent growth and exportmarketsare seen growing by 18-20 per cent.Analysts see a growth of over 20 per cent in revenues from theUS marketon the back of currency, price hike, low base and new launches such as gDepakote.Destocking of medicines and drug pricing is seen hitting domestic market growth.""]"
105640,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'News']",2014-02-07 13:19:00,['ET Online'],"['Cadila Healthcare beats estimates with 81% jump in Q3 profit, stock up 2%']","['NSE', 'nifty', 'Net profit', 'BSE sensex', 'Cadila Healthcare', 'united states']",[],"['MUMBAI: Shares ofCadila Healthcaregained momentum in trade after itsnet profitsurged 80.6 per cent to Rs 186 crore from Rs 103 crore in the same quarter last fiscal. ET Now poll expected PAT to be at Rs 174 crore.Q3 sales grew to Rs 1,838 crore, up 17.3 per cent against Rs 1,561 crore, in year-ago period. ET Now poll expected it to be at Rs 1,780 crore.Meanwhile, margins slipped to 16 per cent vs 16.3 per cent, Year-on-Year (Y-o-Y).The US business registered a growth of 61 per cent, Y-o-Y. During the quarter, company filed 31 ANDAs with the USFDA, taking the cumulative filings to 49 ANDAs for the 9MFY14.Dolat Capital Market remains positive on the stock. ""At CMP, the stock trades at 18.5x FY15E and 15.1x FY16E earnings,"" the brokerage in its quick comment note on results. It will revisit its estimates after conference call today.At 12:50 p.m.; the stock was at Rs 875.30, up 2.40 per cent, on theNSE. It touched a high of Rs 884.50 and a low of Rs 855 in trade today.']"
105720,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Earnings']",2014-02-07 16:48:00,['PTI'],['Cadila Healthcare third quarter profit jumps over 81% to Rs 185.97 crore'],"['BSE', 'Cadila Healthcare', 'Third quarter', 'net sales', 'consolidated net profit']",[],"['NEW DELHI:Cadila Healthcaretoday reported 81.54 per cent increase inconsolidated net profitat Rs 185.97 crore for thethird quarterended December 31, 2013. The company had reported net profit of Rs 102.44 crore in the October-December quarter of 2012-13.Its Q3, 2013-14net saleswere up at Rs 1,838.04 crore as against Rs 1,561.02 crore in the year-ago period, the company said in aBSEfiling. Overall expenses in Q3 were at Rs 1,626 crore, compared to Rs 1,402.94 crore in the same quarter of last fiscal. Cadila Healthcare scrip closed at Rs 903.15, up 5.85 per cent, on the BSE.']"
105780,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'News']",2014-02-07 19:02:00,['PTI'],['Cadila Healthare shares surge nearly 6% on smart earnings'],"['Share', 'surge', 'Cadila Healthare']",[],"['MUMBAI: Shares of Cadila Healthcare today surged nearly 6 per cent after pharma firm reported 81.54 per cent increase in consolidated net profit for the third quarter ended December 31.Cadila\'s stock ended the day 5.85 per cent higher at Rs 903.15 on the BSE. During the day, the scrip rose by 7.35 per cent to Rs 915.95. At the NSE, the drug firm\'s stock zoomed 5.46 per cent to close at Rs 901.45.Cadila today reported 81.54 per cent increase in consolidated net profit at Rs 185.97 crore for the third quarter ended December 31, 2013. It had reported net profit of Rs 102.44 crore in October-December quarter last year.""Cadila Healthcare\'s results came above expectations on the net profit,"" said Sarabjit Kour Nangra, VP-Research-Pharma, Angel Broking.Net sales were up at Rs 1,838.04 crore as against Rs 1,561.02 crore in the year-ago period, the company said in a BSE filing. Overall expenses in the third quarter were at Rs 1,626 crore, compared to Rs 1,402.94 crore in the same quarter of last fiscal.']"
106267,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Recos']",2014-02-10 09:37:00,['ET Now'],['Buy Cadila Healthcare Ltd with target price of Rs 950: Ashwani Gujral'],[],[],"[""In a chat with ET Now, Ashwani Gujral of ashwanigujral.com, shares his views on Cadila Healthcare Ltd:ET Now: What is your call on Cadila Healthcare Ltd?Ashwani Gujral:Cadila Healthcare Ltd is a 'BUY' with a target of Rs 950 and a stop loss of Rs 875.""]"
106275,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Recos']",2014-02-10 09:54:00,['ET Now'],['Buy Cadila Healthcare Ltd with a target of Rs 950: Mitesh Thacker'],[],[],"[""In a chat with ET Now, Mitesh Thacker, Technical Analyst, miteshthacker.com, shares his views on Cadila Healthcare Ltd:ET Now: What is your call on Cadila Healthcare Ltd?Mitesh Thacker:Cadila Healthcare Ltd is a 'BUY' with a target of Rs 950 and a stop loss of Rs 884.""]"
